Stkcd,Trddt,Clsprc,Dretwd,ToverOs
2230,2024/3/12,50.79,-0.013595,2.312628
2230,2024/3/13,50.84,0.000984,2.243289
2230,2024/3/14,50.16,-0.013375,2.053192
2230,2024/3/15,50.68,0.010367,2.128103
2230,2024/3/18,51.4,0.014207,2.492006
2230,2024/3/19,50.5,-0.01751,1.718491
2230,2024/3/20,51.93,0.028317,3.816771
2230,2024/3/21,52.23,0.005777,3.903696
2230,2024/3/22,51.08,-0.022018,2.450062
2230,2024/3/25,49.11,-0.038567,2.80599
2230,2024/3/26,48.02,-0.022195,2.466315
2230,2024/3/27,45.85,-0.04519,2.311356
2230,2024/3/28,49.62,0.082225,4.25145
2230,2024/3/29,48.72,-0.018138,2.030154
2230,2024/4/1,49.53,0.016626,1.771107
2230,2024/4/2,48.8,-0.014739,1.353824
2230,2024/4/3,47.66,-0.023361,1.274341
2230,2024/4/8,47,-0.013848,1.0764
2230,2024/4/9,47.16,0.003404,1.11722
2230,2024/4/10,45.9,-0.026718,1.394706
2230,2024/4/11,46.41,0.011111,1.570247
2230,2024/4/12,46,-0.008834,1.201712
2230,2024/4/15,45.78,-0.004783,1.417224
2230,2024/4/16,45.58,-0.004369,1.731445
2230,2024/4/17,47.08,0.032909,1.957011
2230,2024/4/18,46.46,-0.013169,1.460442
2230,2024/4/19,44.6,-0.040034,2.296616
2230,2024/4/22,44.28,-0.007175,1.457276
2230,2024/4/23,41.97,-0.052168,3.415271
2230,2024/4/24,43.42,0.034548,2.308296
2230,2024/4/25,42.98,-0.010134,1.274609
2230,2024/4/26,44.35,0.031875,1.989614
2230,2024/4/29,45.51,0.026156,2.249394
2230,2024/4/30,45.11,-0.008789,1.405367
2230,2024/5/6,45.53,0.009311,1.509317
2230,2024/5/7,45.6,0.001537,1.600404
2230,2024/5/8,44.34,-0.027632,1.150928
2230,2024/5/9,44.67,0.007442,0.968826
2230,2024/5/10,43.75,-0.020595,1.272299
2230,2024/5/13,44.1,0.008,1.218771
2230,2024/5/14,43.53,-0.012925,1.467888
2230,2024/5/15,43,-0.012176,0.811605
2230,2024/5/16,42.84,-0.003721,1.251766
2230,2024/5/17,43.19,0.00817,0.950181
2230,2024/5/20,43.6,0.009493,1.232975
2230,2024/5/21,43.39,-0.004817,0.763399
2230,2024/5/22,43.87,0.011062,1.221286
2230,2024/5/23,42.65,-0.027809,1.433528
2230,2024/5/24,41.8,-0.01993,1.086773
2230,2024/5/27,42.16,0.008612,0.873789
2230,2024/5/28,41.14,-0.024194,0.980092
2230,2024/5/29,41.19,0.001215,0.890358
2230,2024/5/30,41.98,0.019179,1.293844
2230,2024/5/31,42.2,0.005241,1.002547
2230,2024/6/3,42.24,0.000948,0.767616
2230,2024/6/4,42.16,-0.001894,0.79209
2230,2024/6/5,42.35,0.004507,0.997794
2230,2024/6/6,41.98,-0.008737,1.265352
2230,2024/6/7,41.51,-0.011196,1.030143
2230,2024/6/11,41.81,0.007227,0.91287
2230,2024/6/12,42.93,0.026788,1.570519
2230,2024/6/13,43.08,0.003494,1.241834
2230,2024/6/14,43.4,0.007428,1.442274
2230,2024/6/17,42.9,-0.011521,1.26712
2230,2024/6/18,43.6,0.016317,1.66962
2230,2024/6/19,43.04,-0.012844,0.923757
2230,2024/6/20,42.1,-0.02184,1.054664
2230,2024/6/21,42.73,0.014964,0.901136
2230,2024/6/24,41.48,-0.029253,1.037487
2230,2024/6/25,41.51,0.000723,1.003146
2230,2024/6/26,44.76,0.078294,3.967125
2230,2024/6/27,43.14,-0.036193,2.500003
2230,2024/6/28,42.95,-0.004404,2.215586
2230,2024/7/1,43.49,0.012573,1.764848
2230,2024/7/2,42.83,-0.015176,1.467291
2230,2024/7/3,42.06,-0.017978,1.269226
2230,2024/7/4,41.11,-0.022587,1.231198
2230,2024/7/5,41.2,0.004621,1.064425
2230,2024/7/8,38.7,-0.06068,2.204157
2230,2024/7/9,39,0.007752,1.826624
2230,2024/7/10,38.86,-0.00359,1.176216
2230,2024/7/11,39.25,0.010036,1.220776
2230,2024/7/12,38.66,-0.015032,1.110188
2230,2024/7/15,38.13,-0.013709,0.962168
2230,2024/7/16,39.01,0.023079,1.355347
2230,2024/7/17,38.92,-0.002307,1.060877
2230,2024/7/18,38.69,-0.00591,1.328124
2230,2024/7/19,39.3,0.015766,1.31185
2230,2024/7/22,39.64,0.008651,1.36329
2230,2024/7/23,38.58,-0.026741,0.961551
2230,2024/7/24,38.34,-0.006221,0.88114
2230,2024/7/25,38.42,0.002087,0.707889
2230,2024/7/26,38.66,0.006247,0.685056
2230,2024/7/29,38.61,-0.001293,0.525099
2230,2024/7/30,38.76,0.003885,0.61296
2230,2024/7/31,39.72,0.024768,1.289015
2230,2024/8/1,39.26,-0.011581,0.940489
2230,2024/8/2,38.87,-0.009934,0.719839
2230,2024/8/5,37.9,-0.024955,1.103299
2230,2024/8/6,36.42,-0.03905,2.328645
2230,2024/8/7,36.46,0.001098,1.000544
2230,2024/8/8,36.15,-0.008502,0.902071
2230,2024/8/9,35.9,-0.006916,0.604249
2230,2024/8/12,34.71,-0.033148,1.517168
2230,2024/8/13,34.92,0.00605,0.760334
2230,2024/8/14,34.67,-0.007159,0.603754
2230,2024/8/15,34.68,0.000288,0.976345
2230,2024/8/16,34.46,-0.006344,0.616371
2230,2024/8/19,34.51,0.001451,0.669332
2230,2024/8/20,34.02,-0.014199,0.782411
2230,2024/8/21,34,-0.000588,0.780162
2230,2024/8/22,33.08,-0.027059,1.132049
2230,2024/8/23,33.93,0.025695,1.146831
2230,2024/8/26,34,0.002063,0.662926
2230,2024/8/27,33.33,-0.019706,0.678184
2230,2024/8/28,33.32,-0.0003,0.706131
