ticker,market,industry,event,planned_event_date,actual_event_date,alpha,beta_estimated,marketcap,CAR_m5_p10,PostCAR_p11_p30,Turnover_Estimation_Avg,Turnover_Event_Avg,TurnoverChange,TurnoverChangeRatio,event_window_obs,post_window_obs,estimation_obs,China,Software
MSFT,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0006298572731780393,1.093377395653363,,-0.04298488885455117,0.027340854829933803,,,,,16,20,110,0,1
NET,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.002887858994801096,1.4919115797360925,,0.3286757518445024,-0.2932011130033371,,,,,16,20,110,0,1
NOW,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0013440162750299122,1.313797543800263,,-0.083775551420882,-0.14947441249797033,,,,,16,20,110,0,1
ORCL,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0006004098103918734,1.2899828400346134,,0.07728910253029841,-0.11822911432647946,,,,,16,20,110,0,1
PLTR,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0069885453188564504,2.3240417352586626,,0.359790736196281,-0.3440432616324021,,,,,16,20,110,0,1
SNOW,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0008467547630723302,2.0058466582399292,,0.047877464972448734,-0.0628506437797437,,,,,16,20,110,0,1
TEAM,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0017969328525175889,1.7683473796639528,,0.17235913884515078,-0.25099382437646167,,,,,16,20,110,0,1
WDAY,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.0003228570101424554,1.195241048303316,,0.0428442127276103,-0.010059390160746109,,,,,16,20,110,0,1
ZS,US,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0006874085774225283,1.765999371660961,,0.0980482453496554,0.0998966474958149,,,,,16,20,110,0,1
2371,China,Semi,GPT4,2023-03-15,2023-03-15,-0.00216106212254747,0.7665882910862909,,0.14530405064275087,0.27608050260411343,1.6035671727272724,2.2012912499999997,0.5977240772727272,0.3727465162910175,16,20,110,1,0
300782,China,Semi,GPT4,2023-03-15,2023-03-15,0.0025259089307753386,1.0596589383009134,,0.032412293977122586,-0.2264643638190974,1.6841516363636357,1.7150355,0.030883863636364195,0.018337935236667713,16,20,110,1,0
600584,China,Semi,GPT4,2023-03-15,2023-03-15,0.0013046001030266568,0.8324975182230315,,0.16555636975674903,-0.19914548253928732,1.555900009090909,4.0197939375,2.4638939284090915,1.5835811517532612,16,20,110,1,0
