ticker,date,close,ret,turnover,market,industry
688579,2023-07-04,13.8,-0.033613,6.484103,China,Software
688579,2023-07-05,14.19,0.028261,5.713912,China,Software
688579,2023-07-06,14.0,-0.01339,3.410172,China,Software
688579,2023-07-07,13.84,-0.011429,4.802958,China,Software
688579,2023-07-10,14.15,0.022399,3.45018,China,Software
688579,2023-07-11,13.82,-0.023322,2.111659,China,Software
688579,2023-07-12,13.55,-0.019537,3.985998,China,Software
688579,2023-07-13,14.01,0.033948,3.668536,China,Software
688579,2023-07-14,14.79,0.055675,5.160734,China,Software
688579,2023-07-17,15.71,0.062204,4.782471,China,Software
688579,2023-07-18,15.21,-0.031827,2.262569,China,Software
688579,2023-07-19,15.26,0.003287,1.788465,China,Software
688579,2023-07-20,14.52,-0.048493,1.749649,China,Software
688579,2023-07-21,14.05,-0.032369,1.927041,China,Software
688579,2023-07-24,14.45,0.02847,1.979614,China,Software
688579,2023-07-25,14.3,-0.010381,1.486409,China,Software
688579,2023-07-26,14.02,-0.01958,2.393535,China,Software
688579,2023-07-27,13.75,-0.019258,1.140573,China,Software
688579,2023-07-28,14.05,0.021818,2.377066,China,Software
688579,2023-07-31,15.04,0.070463,4.831244,China,Software
688579,2023-08-01,14.44,-0.039894,2.963607,China,Software
688579,2023-08-02,14.24,-0.01385,2.776377,China,Software
688579,2023-08-03,14.19,-0.003511,1.948219,China,Software
688579,2023-08-04,14.84,0.045807,4.8604,China,Software
688579,2023-08-07,14.75,-0.006065,2.407618,China,Software
688579,2023-08-08,14.37,-0.025763,1.928819,China,Software
688579,2023-08-09,14.15,-0.01531,1.997569,China,Software
688579,2023-08-10,13.86,-0.020495,2.228574,China,Software
688579,2023-08-11,13.37,-0.035354,2.217971,China,Software
688579,2023-08-14,14.25,0.065819,3.399017,China,Software
688579,2023-08-15,13.75,-0.035088,2.415101,China,Software
688579,2023-08-16,13.37,-0.027636,1.406763,China,Software
688579,2023-08-17,13.96,0.044129,3.285396,China,Software
688579,2023-08-18,13.94,-0.001433,4.191971,China,Software
688579,2023-08-21,14.1,0.011478,3.134827,China,Software
688579,2023-08-22,15.56,0.103546,6.825093,China,Software
688579,2023-08-23,15.56,0.0,7.558827,China,Software
688579,2023-08-24,14.36,-0.077121,6.913503,China,Software
688579,2023-08-25,13.18,-0.082173,5.446384,China,Software
688579,2023-08-28,13.18,0.0,4.577731,China,Software
688579,2023-08-29,14.03,0.064492,4.676569,China,Software
688579,2023-08-30,15.31,0.091233,6.307874,China,Software
688579,2023-08-31,14.99,-0.020901,3.845176,China,Software
688579,2023-09-01,14.88,-0.007338,3.539034,China,Software
