date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software,event_day,actual_event_date,expected_ret,abnormal_ret,event
2023-02-20,2230,China,Software,50.94,,,6.051524,,,0.090792,0.0242379731101393,0.090792,1,1,-17,2023-03-15,0.025037767476596258,0.06575423252340373,GPT4
2023-02-21,2230,China,Software,50.66,,,3.652689,,,-0.005497,0.0026248395687452,-0.005497,1,1,-16,2023-03-15,0.005233184964689093,-0.010730184964689093,GPT4
2023-02-22,2230,China,Software,50.38,,,3.109282,,,-0.005527,-0.0090660219656441,-0.005527,1,1,-15,2023-03-15,-0.005479404741456778,-4.7595258543221657e-05,GPT4
2023-02-23,2230,China,Software,48.45,,,3.291052,,,-0.038309,-0.0008050572153285,-0.038309,1,1,-14,2023-03-15,0.002090296232825406,-0.040399296232825406,GPT4
2023-02-24,2230,China,Software,49.15,,,3.055217,,,0.014448,-0.0104352709388476,0.014448,1,1,-13,2023-03-15,-0.0067340772403434775,0.02118207724034348,GPT4
2023-02-27,2230,China,Software,47.79,,,2.17641,,,-0.02767,-0.0042448511527945,-0.02767,1,1,-12,2023-03-15,-0.0010616614751131946,-0.026608338524886806,GPT4
2023-02-28,2230,China,Software,48.34,,,2.545182,,,0.011509,0.0063143420399151,0.011509,1,1,-11,2023-03-15,0.008613956011988905,0.0028950439880110947,GPT4
2023-03-01,2230,China,Software,49.88,,,3.83539,,,0.031858,0.0140266300931643,0.031858,1,1,-10,2023-03-15,0.015680892641684,0.016177107358315998,GPT4
2023-03-02,2230,China,Software,50.9,,,3.965962,,,0.020449,-0.0022327134160456,0.020449,1,1,-9,2023-03-15,0.0007821039259770595,0.01966689607402294,GPT4
2023-03-03,2230,China,Software,50.71,,,3.490374,,,-0.003733,0.00310682865412,-0.003733,1,1,-8,2023-03-15,0.005674842005897944,-0.009407842005897945,GPT4
2023-03-06,2230,China,Software,50.32,,,2.143889,,,-0.007691,-0.0052286885371904,-0.007691,1,1,-7,2023-03-15,-0.0019631729852443046,-0.005727827014755695,GPT4
2023-03-07,2230,China,Software,48.83,,,2.126368,,,-0.02961,-0.0147487394336174,-0.02961,1,1,-6,2023-03-15,-0.010686601873274158,-0.018923398126725843,GPT4
2023-03-08,2230,China,Software,48.62,,,2.236016,,,-0.004301,-0.0036481725389018,-0.004301,1,1,-5,2023-03-15,-0.0005149119341779957,-0.0037860880658220045,GPT4
2023-03-09,2230,China,Software,48.28,,,1.713436,,,-0.006993,-0.0035403743405525,-0.006993,1,1,-4,2023-03-15,-0.00041613410958560955,-0.006576865890414391,GPT4
2023-03-10,2230,China,Software,47.63,,,2.316205,,,-0.013463,-0.0132006655605223,-0.013463,1,1,-3,2023-03-15,-0.009268068244380381,-0.004194931755619618,GPT4
2023-03-13,2230,China,Software,49.2,,,2.870774,,,0.032962,0.0104193351145107,0.032962,1,1,-2,2023-03-15,0.012375450100799879,0.02058654989920012,GPT4
2023-03-14,2230,China,Software,48.15,,,2.15197,,,-0.021341,-0.006002483561914,-0.021341,1,1,-1,2023-03-15,-0.002672218130645895,-0.018668781869354105,GPT4
2023-03-15,2230,China,Software,48.18,,,2.747689,,,0.000623,0.0005534649530276,0.000623,1,1,0,2023-03-15,0.0033351395280345085,-0.0027121395280345086,GPT4
2023-03-16,2230,China,Software,48.87,,,3.318956,,,0.014321,-0.0120492703557949,0.014321,1,1,1,2023-03-15,-0.008213019873344073,0.022534019873344073,GPT4
2023-03-17,2230,China,Software,52.28,,,5.485881,,,0.069777,0.004980530606346,0.069777,1,1,2,2023-03-15,0.007391755698422503,0.062385244301577505,GPT4
2023-03-20,2230,China,Software,51.08,,,3.567923,,,-0.022953,-0.0049993165566895,-0.022953,1,1,3,2023-03-15,-0.0017529944701738503,-0.02120000552982615,GPT4
2023-03-21,2230,China,Software,50.82,,,2.620487,,,-0.00509,0.0109326964026168,-0.00509,1,1,4,2023-03-15,0.012845854171049305,-0.017935854171049304,GPT4
2023-03-22,2230,China,Software,51.55,,,3.207005,,,0.014364,0.0042759731147284,0.014364,1,1,5,2023-03-15,0.0067461544046351395,0.0076178455953648605,GPT4
2023-03-23,2230,China,Software,56.71,,,7.080027,,,0.100097,0.0098643176525631,0.100097,1,1,6,2023-03-15,0.011866875575979655,0.08823012442402035,GPT4
2023-03-24,2230,China,Software,60.02,,,6.64801,,,0.058367,-0.0029863143767404,0.058367,1,1,7,2023-03-15,9.156303894888515e-05,0.058275436961051114,GPT4
2023-03-27,2230,China,Software,60.46,,,5.801084,,,0.007331,-0.0036243483470536,0.007331,1,1,8,2023-03-15,-0.0004930813110370466,0.007824081311037047,GPT4
2023-03-28,2230,China,Software,58.24,,,3.795781,,,-0.036718,-0.0032356525839632,-0.036718,1,1,9,2023-03-15,-0.00013691096223458375,-0.03658108903776542,GPT4
2023-03-29,2230,China,Software,59.25,,,4.878639,,,0.017342,0.001656078909945,0.017342,1,1,10,2023-03-15,0.004345488584858157,0.012996511415141843,GPT4
